Variable	Variable2
Cumulative Capacity|Electricity|Wind	Cum_Cap_Ele_Win
Cumulative Capacity|Electricity|Wind|Offshore	Cum_Cap_Ele_Win_Off
Energy Service|Transportation|Freight	Ene_Ser_Tra_Fre
Energy Service|Transportation|Freight|Navigation	Ene_Ser_Tra_Fre_Nav
Energy Service|Transportation|Freight|Railways	Ene_Ser_Tra_Fre_Rai
Energy Service|Transportation|Freight|Road	Ene_Ser_Tra_Fre_Roa
Energy Service|Transportation|Passenger	Ene_Ser_Tra_Pss
Energy Service|Transportation|Passenger|Aviation	Ene_Ser_Tra_Pss_Avi
Energy Service|Transportation|Passenger|Railways	Ene_Ser_Tra_Pss_Rai
Energy Service|Transportation|Passenger|Road	Ene_Ser_Tra_Pss_Roa
Primary Energy|Ocean	Prm_Ene_Oce
Secondary Energy|Electricity|Ocean	Sec_Ene_Ele_Oce
Secondary Energy|Electricity|Solar|CSP	Sec_Ene_Ele_SolarCSP
Secondary Energy|Electricity|Wind|Offshore	Sec_Ene_Ele_Win_Off
Final Energy|Industry|Hydrogen	Fin_Ene_Ind_Hyd
Final Energy|Industry|Other	Fin_Ene_Ind_Oth
Final Energy|Non-Energy Use|Biomass	Fin_Ene_NonEneUse_Bio
Final Energy|Non-Energy Use|Coal	Fin_Ene_NonEneUse_Coa
Final Energy|Residential and Commercial|Hydrogen	Fin_Ene_Res_and_Com_Hyd
Final Energy|Residential and Commercial|Other	Fin_Ene_Res_and_Com_Oth
Population|Rural	Pop_Rur
Population|Urban	Pop_Urb
Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry	Car_Seq_CCS_Bio_Ene_Dem_Ind
Emissions|CO2|Energy|Demand|Other Sector	Emi_CO2_Ene_Dem_Oth_Sec
Emissions|CO2|Energy|Supply|Heat	Emi_CO2_Ene_Sup_Heat
Emissions|CO2|Energy|Supply|Liquids	Emi_CO2_Ene_Sup_Liq
Investment|Energy Supply|Electricity|Ocean	Inv_Ene_Sup_Ele_Oce
Investment|Energy Supply|Liquids|Coal and Gas	Inv_Ene_Sup_Liq_Coa_and_Gas
Emissions|CH4|Other	Emi_CH4_Oth
Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen	Car_Seq_CCS_Bio_Ene_Sup_Hyd
Carbon Sequestration|CCS|Biomass|Energy|Supply|Other	Car_Seq_CCS_Bio_Ene_Sup_Oth
Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases	Car_Seq_CCS_Fos_Ene_Sup_Gas
Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen	Car_Seq_CCS_Fos_Ene_Sup_Hyd
Carbon Sequestration|CCS|Fossil|Energy|Supply|Other	Car_Seq_CCS_Fos_Ene_Sup_Oth
Emissions|CO2|Energy|Supply|Gases	Emi_CO2_Ene_Sup_Gas
Emissions|CO2|Energy|Supply|Solids	Emi_CO2_Ene_Sup_Solids
Land Cover|Forest|Managed	Lan_Cov_Frs_Man
Policy Cost|Area under MAC Curve	Pol_Cos_Are_und_MAC_Cur
Value Added|Commercial	Val_Add_Com
Value Added|Industry	Val_Add_ind
Forcing|Albedo Change and Mineral Dust	Frc_Alb_Cha_and_Min_Dus
Agricultural Production|Energy|Residues	Agr_Pro_Ene_Rsd
Agricultural Production|Non-Energy	Agr_Pro_NonEne
Energy Service|Transportation|Freight|Aviation	Ene_Ser_Tra_Fre_Avi
Investment|Energy Supply|Hydrogen	Inv_Ene_Sup_Hyd
Land Cover|Cropland|Irrigated	Lan_Cov_Cro_Irr
Land Cover|Forest|Afforestation and Reforestation	Lan_Cov_Frs_Aff_and_Ref
Price|Final Energy|Residential|Solids|Biomass	Prc_Fin_Ene_Res_SolidsBio
Price|Secondary Energy|Gases|Natural Gas	Prc_Sec_Ene_Gas_Nat_Gas
Price|Secondary Energy|Hydrogen	Prc_Sec_Ene_Hyd
Price|Secondary Energy|Liquids|Oil	Prc_Sec_Ene_Liq_Oil
